T,N,sim,beta_interactive.1,beta_interactive.2,beta_interactive.3,beta_interactive.4,beta_interactive.5,beta_within.1,beta_within.2,beta_within.3,beta_within.4,beta_within.5,sde_interactive.1,sde_interactive.2,sde_interactive.3,sde_interactive.4,sde_interactive.5,sde_within.1,sde_within.2,sde_within.3,sde_within.4,sde_within.5
40,60,0,1.0250108593550376,2.934792289171761,5.003368813784646,1.979906831067345,3.9783901709592664,1.410463170387494,3.3449435409557378,4.577432970247387,,,,,,,,0.0335678364663281,0.03285255124272347,0.049866008921039054,,
50,60,0,1.022037699013404,3.025597354587819,4.989058671062747,1.9579427164131136,3.984817799868759,1.371004657221783,3.3744639313123814,4.281161197228188,,,,,,,,0.029376367343575068,0.029532552048379714,0.04364705128154839,,
60,60,0,0.9603155087498167,3.0497148071322937,5.01484970670405,2.027295346737995,3.9798482007003715,1.3311409599148318,3.4003858222133267,5.345907114425479,,,,,,,,0.028337397804231564,0.028384788354860087,0.04811106292775134,,
70,60,0,0.9958372810150182,2.978384690388891,4.9904223055464065,2.043623892824113,4.017988774867623,1.3971898880672011,3.371384573086636,4.775127133703044,,,,,,,,0.025798268590120105,0.025924992322546463,0.04117785251872623,,
80,60,0,1.0239474310577994,2.9716738283092314,5.006312901803049,2.0323133959006703,4.018470740808527,1.4326997422152943,3.380548696293177,5.034314514685057,,,,,,,,0.023865666559911007,0.024107692623565782,0.03641705506997116,,
90,60,0,1.006890790200459,2.9893004333901785,4.999635866240133,2.011452327112956,3.9618210929473525,1.410823809824427,3.4046077463337046,4.30606345037861,,,,,,,,0.022372693752410813,0.022694652845098754,0.03406319210095595,,
100,60,0,0.9926578026446191,3.0349719804089914,4.957561429038455,1.9945520544148323,4.0129225575067125,1.4012095596215035,3.4506381884987345,4.840863059956474,,,,,,,,0.020888436044486484,0.021001099538991676,0.03047067545371676,,
10,70,0,1.382280444639711,3.382792331383869,-2.4674628172904045,0.33768923782906324,3.6328473338216813,1.359317448052406,3.359573933830388,1.9663452469212148,,,,,,,,0.06629863010772459,0.06681395220191087,0.08725367627450142,,
20,70,0,0.9875636132894806,3.201319277789515,4.7379350860448035,2.0570281786179403,3.971884843665989,1.316343806050188,3.4886116216328,4.728523180076687,,,,,,,,0.04346806843583984,0.04430958166105626,0.06371348785937887,,
30,70,0,1.047694304256007,3.0028204408433448,5.00721704460464,1.9911899865139366,4.012195111596624,1.4282106267344288,3.3949628791207855,5.068136967237157,,,,,,,,0.0386277945833234,0.03834317040660152,0.05987309089941874,,
40,70,0,1.01081514606721,3.018756616654002,4.992581870122132,1.990296096120494,4.077128665650848,1.3957474165440584,3.402460332740487,3.27825457600414,,,,,,,,0.03174206603419852,0.03192086478018161,0.04140757012910992,,
50,70,0,1.0272903588869013,3.1307594713517153,4.727255308765547,2.017588933664361,3.998681613610808,1.3449085673404877,3.4434217290180067,3.68904047653855,,,,,,,,0.027759994457571376,0.028259998130641086,0.04186576758840183,,
60,70,0,1.00935158951272,3.0199622409569606,4.990947219900155,1.9628449213758685,3.9658588708481597,1.4111539343165247,3.402729337106046,3.3774680693909187,,,,,,,,0.025115079740047674,0.02546660577365618,0.038074858538230144,,
